tconst,parentTconst,Season Number,Episode Number,TV-show,Episode Title,Season start year,endYear,channel,IMDB Rating,Number of votes,episodeID
tt2301463,tt0903747,5,5,Breaking Bad,Dead Freight,2012,\N,AMC,9.5,17913
tt2301465,tt0903747,5,6,Breaking Bad,Buyout,2012,\N,AMC,8.8,11918
tt2301467,tt0903747,5,7,Breaking Bad,Say My Name,2012,\N,AMC,9.4,15401
tt2301469,tt0903747,5,8,Breaking Bad,Gliding Over All,2012,\N,AMC,9.5,16354
tt2301471,tt0903747,5,9,Breaking Bad,Blood Money,2013,\N,AMC,9.4,15970
tt1040713,tt0804503,1,4,Mad Men,New Amsterdam,2007,\N,AMC,8.0,1880
tt1042049,tt0804503,1,6,Mad Men,Babylon,2007,\N,AMC,8.0,1811
tt1049715,tt0804503,1,2,Mad Men,Ladies Room,2007,\N,AMC,7.6,2181
tt1049716,tt0804503,1,3,Mad Men,Marriage of Figaro,2007,\N,AMC,7.7,2011
tt1050979,tt0804503,1,7,Mad Men,Red in the Face,2007,\N,AMC,8.1,1734
tt1059578,tt0804503,1,1,Mad Men,Smoke Gets in Your Eyes,2007,\N,AMC,8.2,2977
tt1094472,tt0804503,1,10,Mad Men,Long Weekend,2007,\N,AMC,8.3,1642
tt1097127,tt0804503,1,5,Mad Men,5G,2007,\N,AMC,8.2,1820
tt1097128,tt0804503,1,8,Mad Men,The Hobo Code,2007,\N,AMC,8.4,1804
tt1097298,tt0804503,1,9,Mad Men,Shoot,2007,\N,AMC,8.3,1704
tt1102103,tt0804503,1,12,Mad Men,Nixon vs. Kennedy,2007,\N,AMC,9.0,1909
tt1105057,tt0804503,1,13,Mad Men,The Wheel,2007,\N,AMC,9.0,2068
tt1108366,tt0804503,1,11,Mad Men,Indian Summer,2007,\N,AMC,8.2,1591
tt1118051,tt0804503,2,1,Mad Men,For Those Who Think Young,2008,\N,AMC,7.8,1506
tt1118052,tt0804503,2,10,Mad Men,The Inheritance,2008,\N,AMC,8.0,1334
tt1118053,tt0804503,2,11,Mad Men,The Jet Set,2008,\N,AMC,8.4,1520
tt1118054,tt0804503,2,12,Mad Men,The Mountain King,2008,\N,AMC,8.6,1419
tt1118055,tt0804503,2,13,Mad Men,Meditations in an Emergency,2008,\N,AMC,9.0,1561
tt1118056,tt0804503,2,2,Mad Men,Flight 1,2008,\N,AMC,8.0,1444
tt1118057,tt0804503,2,3,Mad Men,The Benefactor,2008,\N,AMC,8.0,1428
tt1118058,tt0804503,2,4,Mad Men,Three Sundays,2008,\N,AMC,8.2,1421
tt1118059,tt0804503,2,5,Mad Men,The New Girl,2008,\N,AMC,8.4,1440
tt1118060,tt0804503,2,6,Mad Men,Maidenform,2008,\N,AMC,8.1,1369
tt1118061,tt0804503,2,7,Mad Men,The Gold Violin,2008,\N,AMC,8.5,1411
tt1118062,tt0804503,2,8,Mad Men,A Night to Remember,2008,\N,AMC,8.4,1390
tt1118063,tt0804503,2,9,Mad Men,Six Month Leave,2008,\N,AMC,8.6,1389
tt1439792,tt0804503,3,1,Mad Men,Out of Town,2009,\N,AMC,8.3,1380
tt1449612,tt0804503,3,2,Mad Men,Love Among the Ruins,2009,\N,AMC,7.9,1268
tt1472778,tt0804503,3,7,Mad Men,Seven Twenty Three,2009,\N,AMC,8.5,1304
tt1484249,tt0804503,3,10,Mad Men,The Color Blue,2009,\N,AMC,8.4,1261
tt1484250,tt0804503,3,11,Mad Men,The Gypsy and the Hobo,2009,\N,AMC,9.2,1660
tt1484251,tt0804503,3,12,Mad Men,The Grown-Ups,2009,\N,AMC,8.9,1458
tt1484414,tt0804503,3,13,Mad Men,Shut the Door. Have a Seat,2009,\N,AMC,9.6,2670
tt1484415,tt0804503,3,3,Mad Men,My Old Kentucky Home,2009,\N,AMC,8.2,1348
tt1484416,tt0804503,3,4,Mad Men,The Arrangements,2009,\N,AMC,8.2,1254
tt1484417,tt0804503,3,5,Mad Men,The Fog,2009,\N,AMC,8.1,1267
tt1484435,tt0804503,3,6,Mad Men,Guy Walks Into an Advertising Agency,2009,\N,AMC,9.1,1720
tt1484662,tt0804503,3,8,Mad Men,Souvenir,2009,\N,AMC,8.1,1244
tt1484663,tt0804503,3,9,Mad Men,Wee Small Hours,2009,\N,AMC,8.2,1218
tt1615656,tt0804503,4,1,Mad Men,Public Relations,2010,\N,AMC,8.7,1449
tt1615657,tt0804503,4,10,Mad Men,Hands and Knees,2010,\N,AMC,8.8,1243
tt1615658,tt0804503,4,11,Mad Men,Chinese Wall,2010,\N,AMC,8.5,1162
tt1615659,tt0804503,4,12,Mad Men,Blowing Smoke,2010,\N,AMC,8.9,1277
tt1615660,tt0804503,4,13,Mad Men,Tomorrowland,2010,\N,AMC,9.0,1516
tt1615661,tt0804503,4,2,Mad Men,Christmas Comes But Once a Year,2010,\N,AMC,8.3,1259
tt1615662,tt0804503,4,3,Mad Men,The Good News,2010,\N,AMC,8.7,1339
tt1615663,tt0804503,4,4,Mad Men,The Rejected,2010,\N,AMC,8.4,1247
tt1615664,tt0804503,4,5,Mad Men,The Chrysanthemum and the Sword,2010,\N,AMC,8.7,1298
tt1615665,tt0804503,4,6,Mad Men,Waldorf Stories,2010,\N,AMC,8.6,1318
tt1615666,tt0804503,4,7,Mad Men,The Suitcase,2010,\N,AMC,9.7,3358
tt1615667,tt0804503,4,8,Mad Men,The Summer Man,2010,\N,AMC,8.7,1354
tt1615668,tt0804503,4,9,Mad Men,The Beautiful Girls,2010,\N,AMC,8.8,1356
tt2048448,tt0804503,5,1,Mad Men,"A Little Kiss, Part 1",2012,\N,AMC,8.6,1536
tt2049164,tt0804503,5,10,Mad Men,Christmas Waltz,2012,\N,AMC,8.3,1211
tt2049165,tt0804503,5,11,Mad Men,The Other Woman,2012,\N,AMC,9.4,1924
tt2049166,tt0804503,5,12,Mad Men,Commissions and Fees,2012,\N,AMC,9.4,1756
tt2049167,tt0804503,5,13,Mad Men,The Phantom,2012,\N,AMC,8.6,1368
tt2049168,tt0804503,5,2,Mad Men,"A Little Kiss, Part 2",2012,\N,AMC,8.6,1308
tt2049169,tt0804503,5,3,Mad Men,Tea Leaves,2012,\N,AMC,8.0,1246
tt2049170,tt0804503,5,4,Mad Men,Mystery Date,2012,\N,AMC,8.6,1355
tt2049171,tt0804503,5,5,Mad Men,Signal 30,2012,\N,AMC,9.0,1612
tt2049172,tt0804503,5,6,Mad Men,Far Away Places,2012,\N,AMC,9.1,1776
tt2049173,tt0804503,5,7,Mad Men,At the Codfish Ball,2012,\N,AMC,8.7,1335
tt2049174,tt0804503,5,8,Mad Men,Lady Lazarus,2012,\N,AMC,8.3,1233
tt2049175,tt0804503,5,9,Mad Men,Dark Shadows,2012,\N,AMC,8.1,1157
tt2470504,tt0804503,6,1,Mad Men,"The Doorway, Part 1",2013,\N,AMC,7.7,1388
tt2551222,tt0804503,6,3,Mad Men,Collaborators,2013,\N,AMC,8.0,1208
tt2560864,tt0804503,6,4,Mad Men,To Have and to Hold,2013,\N,AMC,8.2,1166
tt2649564,tt0804503,6,2,Mad Men,"The Doorway, Part 2",2013,\N,AMC,7.9,1254
tt2663614,tt0804503,6,7,Mad Men,Man with a Plan,2013,\N,AMC,8.1,1150
tt2717848,tt0804503,6,5,Mad Men,The Flood,2013,\N,AMC,8.3,1219
tt2717850,tt0804503,6,6,Mad Men,For Immediate Release,2013,\N,AMC,8.9,1406
tt2882248,tt0804503,6,9,Mad Men,The Better Half,2013,\N,AMC,8.5,1220
tt2882250,tt0804503,6,8,Mad Men,The Crash,2013,\N,AMC,8.7,1448
tt2939964,tt0804503,6,11,Mad Men,Favors,2013,\N,AMC,8.8,1233
tt2939966,tt0804503,6,10,Mad Men,A Tale of Two Cities,2013,\N,AMC,8.2,1109
tt2939968,tt0804503,6,13,Mad Men,In Care Of,2013,\N,AMC,9.2,1505
tt2939970,tt0804503,6,12,Mad Men,The Quality of Mercy,2013,\N,AMC,8.6,1133
tt3029774,tt0804503,7,1,Mad Men,Time Zones,2014,\N,AMC,8.1,1345
tt3239886,tt0804503,7,8,Mad Men,Severance,2015,\N,AMC,8.3,1340
tt3669680,tt0804503,7,2,Mad Men,A Day's Work,2014,\N,AMC,8.5,1231
tt3678086,tt0804503,7,3,Mad Men,Field Trip,2014,\N,AMC,8.7,1274
tt3680402,tt0804503,7,4,Mad Men,The Monolith,2014,\N,AMC,8.6,1167
tt3707054,tt0804503,7,11,Mad Men,Time & Life,2015,\N,AMC,9.0,1319
tt3709284,tt0804503,7,5,Mad Men,The Runaways,2014,\N,AMC,8.6,1234
tt3709286,tt0804503,7,6,Mad Men,The Strategy,2014,\N,AMC,9.0,1386
tt3740788,tt0804503,7,7,Mad Men,Waterloo,2014,\N,AMC,9.5,2029
tt3756834,tt0804503,7,14,Mad Men,Person to Person,2015,\N,AMC,9.3,2628
tt3783560,tt0804503,7,13,Mad Men,The Milk and Honey Route,2015,\N,AMC,9.2,1560
tt3868862,tt0804503,7,9,Mad Men,New Business,2015,\N,AMC,8.0,1200
tt3908430,tt0804503,7,10,Mad Men,The Forecast,2015,\N,AMC,8.5,1224
tt3908436,tt0804503,7,12,Mad Men,Lost Horizon,2015,\N,AMC,9.1,1401
tt3464768,tt3032476,1,1,Better Call Saul,Uno,2015,\N,AMC,8.7,10416
tt3824148,tt3032476,2,1,Better Call Saul,Switch,2016,\N,AMC,8.5,4976
tt3857028,tt3032476,1,2,Better Call Saul,Mijo,2015,\N,AMC,9.1,9569
tt3858672,tt3032476,1,3,Better Call Saul,Nacho,2015,\N,AMC,8.9,7945
tt3864892,tt3032476,1,4,Better Call Saul,Hero,2015,\N,AMC,8.7,6840
