tconst,parentTconst,seasonNumber,episodeNumber,TV-show,primaryTitle_y,startYear,endYear,channel,averageRating,numVotes,episodeID
tt4006604,tt2193021,3,23,Arrow,My Name Is Oliver Queen,2015,\N,CW,8.3,4576,69
tt4006606,tt2193021,3,17,Arrow,Suicidal Tendencies,2015,\N,CW,8.6,3179,63
tt4345922,tt2193021,4,1,Arrow,Green Arrow,2015,\N,CW,8.5,4534,70
tt4765782,tt2193021,4,2,Arrow,The Candidate,2015,\N,CW,8.2,3040,71
tt4846212,tt2193021,4,3,Arrow,Restoration,2015,\N,CW,8.2,2916,72
tt4854000,tt2193021,4,4,Arrow,Beyond Redemption,2015,\N,CW,8.4,2853,73
tt4859064,tt2193021,4,5,Arrow,Haunted,2015,\N,CW,9.0,3929,74
tt4859296,tt2193021,4,7,Arrow,Brotherhood,2015,\N,CW,8.2,2663,76
tt4859298,tt2193021,4,6,Arrow,Lost Souls,2015,\N,CW,8.2,2866,75
tt4859300,tt2193021,4,8,Arrow,Legends of Yesterday,2015,\N,CW,9.1,3929,77
tt4859302,tt2193021,4,9,Arrow,Dark Waters,2015,\N,CW,8.9,3390,78
tt4862532,tt2193021,4,10,Arrow,Blood Debts,2016,\N,CW,8.1,2660,79
tt4862534,tt2193021,4,11,Arrow,A.W.O.L.,2016,\N,CW,8.0,2537,80
tt4862536,tt2193021,4,13,Arrow,Sins of the Father,2016,\N,CW,8.4,2718,82
tt4862538,tt2193021,4,12,Arrow,Unchained,2016,\N,CW,8.3,2555,81
tt4862540,tt2193021,4,15,Arrow,Taken,2016,\N,CW,8.3,2801,84
tt4862542,tt2193021,4,14,Arrow,Code of Silence,2016,\N,CW,7.9,2483,83
tt4862544,tt2193021,4,16,Arrow,Broken Hearts,2016,\N,CW,6.3,3465,85
tt4862546,tt2193021,4,17,Arrow,Beacon of Hope,2016,\N,CW,6.8,2962,86
tt4862548,tt2193021,4,20,Arrow,Genesis,2016,\N,CW,7.5,2814,89
tt4862550,tt2193021,4,19,Arrow,Canary Cry,2016,\N,CW,6.8,3182,88
